EGreedy,EDecreasing,Hybrid1,Hybrid2,Hybrid3,Hybrid4,Hybrid5
49.2,40.6,40.6,45.4,32.8,38,42.8
58.6,51,48.2,52,40.4,50.8,55.6
67.6,56.2,51.8,60.6,44.4,54.2,59.2
75.2,61.8,57,70.8,51.8,63.2,67.4
83,72.4,68.2,83.6,59.4,70.4,75.8
91.2,82,79.8,96.8,66,78.6,83.4
100.2,96,95,103,70.8,88.2,93
109.6,107,106.6,117.6,80.8,97.4,100.6
117,120.4,115.6,128.6,87.4,106.4,113
128,132.8,123.8,138.4,91.6,113.6,118
131,139.6,132.6,148.6,95.2,121.6,126
139,147.2,140.4,157.4,101.6,128.2,132.6
147.4,158.2,152,162.2,100.2,130.2,136.2
0,0,0,0,0,0,0
16.6,9.2,8,10,8.2,9.2,9.2
30.4,13.6,14.6,16,11.8,14.8,20.8
46.4,19,18.2,22.6,14.2,23.8,30.4
52.2,21,21.6,27.8,20.4,31.8,42
60.8,35.2,35,30.8,27.4,38,49.4
67.4,43,44.2,38.4,33.2,44.8,56.8
80.6,49.6,47.4,46.4,37.8,53,68.6
93.2,60.8,59.4,56.6,49,59.2,80
107.4,68.6,65,64.4,53.2,68.2,94
114,73.8,70,68,56.6,77.2,103.4
126,81.2,77.6,75.4,63.8,85,113.2
135.2,89,87.8,76,65.6,88.8,122
140.6,98.4,96.2,79,68,90.4,126.8
149,109.4,108.8,82.6,71.4,94.2,136.8
156.6,119.2,117.4,90.6,79.2,97.4,142.6
168.4,136.6,127.4,99.2,87.8,106.6,159.2
181.2,150.4,140.6,108,96,116.2,171
193,163.2,150,118.4,107.2,121.8,182
205.6,169,160.6,125,113.2,136.6,198.6
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
9.2,12.6,8.2,11,10,10.4,11.4
14.4,20.4,19.4,20.4,17.8,19,16.8
25.4,27.6,27,26.4,24.6,26.8,22.2
35.2,30,28,31.6,32,31.6,27.6
44.8,35.8,29.2,37.8,39.4,43.4,37.6
55.4,39.2,35.4,43.8,50.8,55.4,51.6
68.2,45,37.8,44.8,60.2,64.4,61
75.2,54.2,50,47.6,65.6,72.2,66.6
83.4,60.4,57.4,52.6,78.6,82.8,78.4
96.6,71.2,66.8,52.4,85.2,94.8,89.8
106.6,81.8,79.2,57.2,97.2,106.4,100.4
