Strategy,MeanRewards
Hybrid4',-0.2
Hybrid4',10.4
Hybrid4',19
Hybrid4',26.8
Hybrid4',31.6
Hybrid4',43.4
Hybrid4',55.4
Hybrid4',64.4
Hybrid4',72.2
Hybrid4',82.8
Hybrid4',94.8
Hybrid4',106.4
Hybrid4',111.2
Hybrid4',118.8
Hybrid4',127.2
Hybrid4',141
Hybrid4',153
Hybrid4',166.6
Hybrid4',172.4
Hybrid4',179.2
Hybrid4',0
Hybrid4',2.8
Hybrid4',7
Hybrid4',11.2
Hybrid4',12.6
Hybrid4',15
Hybrid4',21.8
Hybrid4',30
Hybrid4',36.6
Hybrid4',40.6
Hybrid4',46
Hybrid4',53.4
Hybrid4',58.8
Hybrid4',56.2
Hybrid4',53.6
Hybrid4',54.8
Hybrid4',58.2
Hybrid4',61.8
Hybrid4',64.4
Hybrid4',65.8
Hybrid4',0
Hybrid4',8.6
Hybrid4',18.8
Hybrid4',31.8
Hybrid4',41.8
Hybrid4',48.4
Hybrid4',56
Hybrid4',70.8
Hybrid4',82.2
Hybrid4',89.4
Hybrid4',95.4
Hybrid4',106.4
Hybrid4',117.8
Hybrid4',128
Hybrid4',141.6
Hybrid4',153.4
Hybrid4',160.4
Hybrid4',169.4
Hybrid4',176.2
Hybrid4',187
Hybrid4',0
Hybrid4',-0.8
Hybrid4',7.8
Hybrid4',15.8
Hybrid4',17.4
Hybrid4',24
Hybrid4',32.8
Hybrid4',38
Hybrid4',48.2
Hybrid4',55.4
Hybrid4',60.6
Hybrid4',63.4
Hybrid4',68.4
Hybrid4',75.6
Hybrid4',82.8
Hybrid4',84.4
Hybrid4',93
Hybrid4',102.6
Hybrid4',112
Hybrid4',118.2
Hybrid4',0.2
Hybrid4',-0.6
Hybrid4',7.2
Hybrid4',11.8
Hybrid4',18.4
Hybrid4',21
Hybrid4',22.8
Hybrid4',28.2
Hybrid4',35.8
Hybrid4',44.8
Hybrid4',50
Hybrid4',56.8
Hybrid4',59.2
Hybrid4',67.4
Hybrid4',75.2
Hybrid4',83.8
Hybrid4',89.8
Hybrid4',93.2
Hybrid4',99.6
Hybrid4',102.4
Hybrid4',0
Hybrid4',7.2
Hybrid4',19.6
Hybrid4',24.4
Hybrid4',32
Hybrid4',37
Hybrid4',47
Hybrid4',59.4
Hybrid4',71.8
Hybrid4',85
Hybrid4',100.2
Hybrid4',104.4
Hybrid4',118.6
Hybrid4',124.2
Hybrid4',139.6
Hybrid4',155.2
Hybrid4',165.4
Hybrid4',176.4
Hybrid4',190.2
Hybrid4',193.6
Hybrid4',-0.2
Hybrid4',4.6
Hybrid4',5.4
Hybrid4',11.2
Hybrid4',16.4
Hybrid4',23.8
Hybrid4',31
Hybrid4',37
Hybrid4',43.8
Hybrid4',47.2
Hybrid4',56
Hybrid4',57.2
Hybrid4',59.8
Hybrid4',74.8
Hybrid4',84.8
Hybrid4',98
Hybrid4',104.4
Hybrid4',111.8
Hybrid4',115.2
Hybrid4',127.8
Hybrid4',0
Hybrid4',2.8
Hybrid4',12.6
Hybrid4',18.2
Hybrid4',28.2
Hybrid4',40.6
Hybrid4',49.2
Hybrid4',56.6
Hybrid4',66.6
Hybrid4',83
Hybrid4',92
Hybrid4',100.4
Hybrid4',113.6
Hybrid4',127.2
Hybrid4',135.8
Hybrid4',144.2
Hybrid4',152.2
Hybrid4',154.8
Hybrid4',166.8
Hybrid4',175
Hybrid4',0
Hybrid4',4.4
Hybrid4',14
Hybrid4',21.8
Hybrid4',37.8
Hybrid4',43.6
Hybrid4',49.4
Hybrid4',57.4
Hybrid4',70.8
Hybrid4',85.6
Hybrid4',97.4
Hybrid4',104.4
Hybrid4',117.6
Hybrid4',129.2
Hybrid4',140
Hybrid4',150
Hybrid4',161.2
Hybrid4',166.8
Hybrid4',177
Hybrid4',188.2
Hybrid4',0.2
Hybrid4',8
Hybrid4',12.2
Hybrid4',21.4
Hybrid4',34.6
Hybrid4',49
Hybrid4',61.2
Hybrid4',74
Hybrid4',77.6
Hybrid4',89
Hybrid4',104.6
Hybrid4',112
Hybrid4',122.8
Hybrid4',133
Hybrid4',142.8
Hybrid4',152.4
Hybrid4',160
Hybrid4',169.4
Hybrid4',184.6
Hybrid4',193
Hybrid4',0
Hybrid4',4.6
Hybrid4',14
Hybrid4',19.6
Hybrid4',33.2
Hybrid4',42
Hybrid4',58
Hybrid4',64.6
Hybrid4',73.8
Hybrid4',88.4
Hybrid4',98.2
Hybrid4',106.8
Hybrid4',119.4
Hybrid4',121.8
Hybrid4',121.8
Hybrid4',130.2
Hybrid4',139.4
Hybrid4',151.4
Hybrid4',161.8
Hybrid4',171.8
Hybrid4',0
Hybrid4',3.8
Hybrid4',9.8
Hybrid4',15.6
Hybrid4',23
Hybrid4',35
Hybrid4',42.4
Hybrid4',47.8
Hybrid4',49.2
Hybrid4',54
Hybrid4',59.6
Hybrid4',67.4
Hybrid4',68.6
Hybrid4',79
Hybrid4',78.8
Hybrid4',85.4
Hybrid4',90.8
Hybrid4',94.8
Hybrid4',103.6
Hybrid4',111
