Strategy,MeanRewards
EGreedy,118
EGreedy,121.2
EGreedy,130.6
EGreedy,0.2
EGreedy,1.8
EGreedy,7.4
EGreedy,17.6
EGreedy,22.2
EGreedy,30.2
EGreedy,37.2
EGreedy,43.4
EGreedy,47.2
EGreedy,53.2
EGreedy,60.4
EGreedy,68.2
EGreedy,71.4
EGreedy,77.8
EGreedy,82.4
EGreedy,88.8
EGreedy,89.6
EGreedy,96.6
EGreedy,101.2
EGreedy,106
EGreedy,0
EGreedy,6.4
EGreedy,21
EGreedy,28.6
EGreedy,39
EGreedy,54.8
EGreedy,68
EGreedy,79.8
EGreedy,86
EGreedy,98.2
EGreedy,112.8
EGreedy,120.8
EGreedy,132
EGreedy,139.8
EGreedy,142
EGreedy,142.2
EGreedy,151.8
EGreedy,165.6
EGreedy,176.2
EGreedy,185.8
EGreedy,0
EGreedy,7.4
EGreedy,9.6
EGreedy,17.2
EGreedy,22.6
EGreedy,31
EGreedy,40.6
EGreedy,46.2
EGreedy,48
EGreedy,49.4
EGreedy,58
EGreedy,63
EGreedy,67.2
EGreedy,75
EGreedy,78.4
EGreedy,80.8
EGreedy,85.2
EGreedy,91
EGreedy,97.2
EGreedy,106.2
Edecreasing,0
Edecreasing,10.8
Edecreasing,15.8
Edecreasing,24.2
Edecreasing,32.4
Edecreasing,36.6
Edecreasing,41.2
Edecreasing,49.4
Edecreasing,56.8
Edecreasing,68.2
Edecreasing,75.8
Edecreasing,80.4
Edecreasing,91.2
Edecreasing,95
Edecreasing,104
Edecreasing,110.8
Edecreasing,122.8
Edecreasing,128.2
Edecreasing,136
Edecreasing,143
Edecreasing,-0.2
Edecreasing,5
Edecreasing,10
Edecreasing,12.6
Edecreasing,15
Edecreasing,24.8
Edecreasing,32.8
Edecreasing,40.4
Edecreasing,48.2
Edecreasing,53.2
Edecreasing,62.2
Edecreasing,71.8
Edecreasing,80.8
Edecreasing,92.6
Edecreasing,103.4
Edecreasing,119.4
Edecreasing,133.4
Edecreasing,149.4
Edecreasing,155.6
Edecreasing,167.8
Edecreasing,0.2
Edecreasing,10
Edecreasing,15.4
Edecreasing,20
Edecreasing,29.2
Edecreasing,41.6
Edecreasing,52.4
Edecreasing,62.6
Edecreasing,66.2
Edecreasing,77
Edecreasing,82.8
Edecreasing,92.6
Edecreasing,100.6
Edecreasing,109.4
Edecreasing,116.8
Edecreasing,125.8
Edecreasing,131.8
Edecreasing,142
Edecreasing,151.8
Edecreasing,165
Edecreasing,0.2
Edecreasing,11
Edecreasing,17.6
Edecreasing,26.2
Edecreasing,31
Edecreasing,40.4
Edecreasing,45.2
Edecreasing,49
Edecreasing,52.6
Edecreasing,57.8
Edecreasing,69
Edecreasing,70.4
Edecreasing,77.8
Edecreasing,81.4
Edecreasing,86
Edecreasing,94.4
Edecreasing,97.2
Edecreasing,104
Edecreasing,104.4
Edecreasing,111.4
Edecreasing,0
Edecreasing,12.6
Edecreasing,15.2
Edecreasing,25.4
Edecreasing,34
Edecreasing,45
Edecreasing,53.8
